jackknife_run bin_cM average_cov exp_fit
all 0.02000 0.03622 0.03144
all 0.02100 0.03431 0.03102
all 0.02200 0.03246 0.03061
all 0.02300 0.03109 0.03021
all 0.02400 0.03071 0.02981
all 0.02500 0.03234 0.02941
all 0.02600 0.03037 0.02902
all 0.02700 0.03101 0.02864
all 0.02800 0.02972 0.02826
all 0.02900 0.02794 0.02789
all 0.03000 0.02670 0.02752
all 0.03100 0.02792 0.02715
all 0.03200 0.02761 0.02679
all 0.03300 0.02511 0.02644
all 0.03400 0.02384 0.02609
all 0.03500 0.02687 0.02574
all 0.03600 0.02471 0.02540
all 0.03700 0.02403 0.02506
all 0.03800 0.02315 0.02473
all 0.03900 0.02603 0.02441
all 0.04000 0.02470 0.02408
all 0.04100 0.02217 0.02376
all 0.04200 0.02332 0.02345
all 0.04300 0.02245 0.02314
all 0.04400 0.02056 0.02283
all 0.04500 0.02145 0.02253
all 0.04600 0.02195 0.02223
all 0.04700 0.02044 0.02194
all 0.04800 0.02138 0.02165
all 0.04900 0.01722 0.02136
all 0.05000 0.01966 0.02108
all 0.05100 0.02180 0.02080
all 0.05200 0.01925 0.02052
all 0.05300 0.01851 0.02025
all 0.05400 0.01863 0.01998
all 0.05500 0.01827 0.01972
all 0.05600 0.01902 0.01946
all 0.05700 0.01645 0.01920
all 0.05800 0.01858 0.01895
all 0.05900 0.01722 0.01870
all 0.06000 0.01806 0.01845
all 0.06100 0.01842 0.01821
all 0.06200 0.01789 0.01796
all 0.06300 0.01748 0.01773
all 0.06400 0.01820 0.01749
all 0.06500 0.01749 0.01726
all 0.06600 0.01593 0.01703
all 0.06700 0.01670 0.01681
all 0.06800 0.01697 0.01659
all 0.06900 0.01532 0.01637
all 0.07000 0.01628 0.01615
all 0.07100 0.01552 0.01594
all 0.07200 0.01353 0.01573
all 0.07300 0.01531 0.01552
all 0.07400 0.01177 0.01531
all 0.07500 0.01478 0.01511
all 0.07600 0.01280 0.01491
all 0.07700 0.01406 0.01471
all 0.07800 0.01489 0.01452
all 0.07900 0.01383 0.01433
all 0.08000 0.01258 0.01414
all 0.08100 0.01517 0.01395
all 0.08200 0.01477 0.01377
all 0.08300 0.01466 0.01358
all 0.08400 0.01138 0.01340
all 0.08500 0.01268 0.01323
all 0.08600 0.01378 0.01305
all 0.08700 0.01128 0.01288
all 0.08800 0.01213 0.01271
all 0.08900 0.01206 0.01254
all 0.09000 0.01301 0.01238
all 0.09100 0.01082 0.01221
all 0.09200 0.01122 0.01205
all 0.09300 0.01298 0.01189
all 0.09400 0.01256 0.01174
all 0.09500 0.01275 0.01158
all 0.09600 0.01102 0.01143
all 0.09700 0.01227 0.01128
all 0.09800 0.00881 0.01113
all 0.09900 0.01111 0.01098
all 0.10000 0.01009 0.01084
all 0.10100 0.01225 0.01069
all 0.10200 0.00911 0.01055
all 0.10300 0.01143 0.01041
all 0.10400 0.01169 0.01028
all 0.10500 0.00893 0.01014
all 0.10600 0.01077 0.01001
all 0.10700 0.00826 0.00987
all 0.10800 0.00996 0.00974
all 0.10900 0.01349 0.00962
all 0.11000 0.01005 0.00949
all 0.11100 0.00978 0.00936
all 0.11200 0.01206 0.00924
all 0.11300 0.01007 0.00912
all 0.11400 0.00952 0.00900
all 0.11500 0.00882 0.00888
all 0.11600 0.01104 0.00876
all 0.11700 0.00928 0.00865
all 0.11800 0.00631 0.00853
all 0.11900 0.00794 0.00842
all 0.12000 0.00735 0.00831
all 0.12100 0.00749 0.00820
