jackknife_run bin_cM average_cov exp_fit
all 0.02000 0.03220 0.03273
all 0.02100 0.03420 0.03238
all 0.02200 0.03556 0.03203
all 0.02300 0.03330 0.03168
all 0.02400 0.03321 0.03134
all 0.02500 0.03263 0.03100
all 0.02600 0.03173 0.03066
all 0.02700 0.03184 0.03033
all 0.02800 0.03106 0.03000
all 0.02900 0.03210 0.02968
all 0.03000 0.02893 0.02936
all 0.03100 0.03009 0.02904
all 0.03200 0.02895 0.02873
all 0.03300 0.02925 0.02842
all 0.03400 0.02771 0.02811
all 0.03500 0.02859 0.02780
all 0.03600 0.02817 0.02750
all 0.03700 0.02899 0.02721
all 0.03800 0.02782 0.02691
all 0.03900 0.02692 0.02662
all 0.04000 0.02594 0.02633
all 0.04100 0.02405 0.02605
all 0.04200 0.02428 0.02577
all 0.04300 0.02338 0.02549
all 0.04400 0.02425 0.02521
all 0.04500 0.02391 0.02494
all 0.04600 0.02385 0.02467
all 0.04700 0.02155 0.02441
all 0.04800 0.02240 0.02414
all 0.04900 0.02297 0.02388
all 0.05000 0.02349 0.02362
all 0.05100 0.02263 0.02337
all 0.05200 0.02234 0.02312
all 0.05300 0.02217 0.02287
all 0.05400 0.02373 0.02262
all 0.05500 0.02007 0.02237
all 0.05600 0.02157 0.02213
all 0.05700 0.02243 0.02189
all 0.05800 0.02199 0.02166
all 0.05900 0.02003 0.02142
all 0.06000 0.02108 0.02119
all 0.06100 0.01989 0.02096
all 0.06200 0.02096 0.02074
all 0.06300 0.02126 0.02052
all 0.06400 0.02015 0.02029
all 0.06500 0.02070 0.02008
all 0.06600 0.01970 0.01986
all 0.06700 0.01879 0.01964
all 0.06800 0.01941 0.01943
all 0.06900 0.01740 0.01922
all 0.07000 0.01848 0.01902
all 0.07100 0.01809 0.01881
all 0.07200 0.01912 0.01861
all 0.07300 0.01930 0.01841
all 0.07400 0.02067 0.01821
all 0.07500 0.01936 0.01801
all 0.07600 0.02048 0.01782
all 0.07700 0.01772 0.01763
all 0.07800 0.01831 0.01744
all 0.07900 0.01822 0.01725
all 0.08000 0.01704 0.01707
all 0.08100 0.01851 0.01688
all 0.08200 0.01746 0.01670
all 0.08300 0.01753 0.01652
all 0.08400 0.01791 0.01634
all 0.08500 0.01616 0.01617
all 0.08600 0.01526 0.01599
all 0.08700 0.01612 0.01582
all 0.08800 0.01546 0.01565
all 0.08900 0.01585 0.01548
all 0.09000 0.01521 0.01532
all 0.09100 0.01616 0.01515
all 0.09200 0.01369 0.01499
all 0.09300 0.01515 0.01483
all 0.09400 0.01395 0.01467
all 0.09500 0.01445 0.01451
all 0.09600 0.01335 0.01436
all 0.09700 0.01248 0.01420
all 0.09800 0.01204 0.01405
all 0.09900 0.01278 0.01390
all 0.10000 0.01186 0.01375
all 0.10100 0.01208 0.01360
all 0.10200 0.01216 0.01346
all 0.10300 0.01037 0.01331
all 0.10400 0.01135 0.01317
all 0.10500 0.00994 0.01303
all 0.10600 0.01146 0.01289
all 0.10700 0.01179 0.01275
all 0.10800 0.01126 0.01262
all 0.10900 0.01054 0.01248
all 0.11000 0.01276 0.01235
all 0.11100 0.01080 0.01221
all 0.11200 0.01091 0.01208
all 0.11300 0.00918 0.01195
all 0.11400 0.01006 0.01183
all 0.11500 0.00972 0.01170
all 0.11600 0.00896 0.01158
all 0.11700 0.00928 0.01145
all 0.11800 0.01080 0.01133
all 0.11900 0.01045 0.01121
all 0.12000 0.01074 0.01109
all 0.12100 0.01010 0.01097
all 0.12200 0.01014 0.01085
all 0.12300 0.00982 0.01074
all 0.12400 0.00890 0.01062
all 0.12500 0.00917 0.01051
all 0.12600 0.00926 0.01040
all 0.12700 0.00903 0.01029
all 0.12800 0.01024 0.01018
all 0.12900 0.00921 0.01007
all 0.13000 0.00871 0.00996
all 0.13100 0.00801 0.00986
all 0.13200 0.01014 0.00975
all 0.13300 0.00949 0.00965
all 0.13400 0.00823 0.00954
all 0.13500 0.00886 0.00944
all 0.13600 0.00839 0.00934
all 0.13700 0.00813 0.00924
all 0.13800 0.00909 0.00914
all 0.13900 0.00747 0.00905
all 0.14000 0.00800 0.00895
all 0.14100 0.00837 0.00886
all 0.14200 0.00735 0.00876
all 0.14300 0.00862 0.00867
all 0.14400 0.00778 0.00858
all 0.14500 0.00865 0.00849
all 0.14600 0.00809 0.00840
all 0.14700 0.00939 0.00831
all 0.14800 0.00952 0.00822
all 0.14900 0.00884 0.00813
all 0.15000 0.00864 0.00805
all 0.15100 0.00794 0.00796
all 0.15200 0.00890 0.00788
all 0.15300 0.00792 0.00779
all 0.15400 0.00821 0.00771
all 0.15500 0.00826 0.00763
all 0.15600 0.00677 0.00755
all 0.15700 0.00725 0.00747
all 0.15800 0.00765 0.00739
all 0.15900 0.00831 0.00731
all 0.16000 0.00820 0.00723
all 0.16100 0.00922 0.00716
all 0.16200 0.00813 0.00708
all 0.16300 0.00744 0.00701
all 0.16400 0.00852 0.00693
all 0.16500 0.00779 0.00686
all 0.16600 0.00828 0.00679
all 0.16700 0.00763 0.00672
all 0.16800 0.00707 0.00665
all 0.16900 0.00741 0.00658
all 0.17000 0.00731 0.00651
all 0.17100 0.00758 0.00644
all 0.17200 0.00742 0.00637
all 0.17300 0.00674 0.00630
all 0.17400 0.00696 0.00624
all 0.17500 0.00603 0.00617
all 0.17600 0.00605 0.00611
all 0.17700 0.00647 0.00604
all 0.17800 0.00569 0.00598
all 0.17900 0.00766 0.00592
all 0.18000 0.00612 0.00586
all 0.18100 0.00682 0.00579
all 0.18200 0.00701 0.00573
all 0.18300 0.00713 0.00567
all 0.18400 0.00635 0.00561
all 0.18500 0.00717 0.00556
all 0.18600 0.00684 0.00550
all 0.18700 0.00624 0.00544
all 0.18800 0.00654 0.00538
all 0.18900 0.00461 0.00533
all 0.19000 0.00497 0.00527
all 0.19100 0.00605 0.00522
all 0.19200 0.00649 0.00516
all 0.19300 0.00502 0.00511
all 0.19400 0.00643 0.00506
all 0.19500 0.00591 0.00500
all 0.19600 0.00605 0.00495
all 0.19700 0.00500 0.00490
